Number,C_Language
16310920101,80
16310920102,70
16310920103,65
16310920104,68
16310920105,80
16310920106,68
16310920107,47
16310920108,71
16310920109,64
16310920110,90
16310920111,
16310920112,82
16310920113,89
16310920114,79
16310920115,80
16310920116,85
16310920117,72
16310920118,88
16310920119,92
16310920120,88
16310920121,70
16310920122,68
16310920123,82
16310920124,77
16310920125,54
16310920126,69
16310920127,68
16310920128,72
16310920129,68
16310920131,88
16310920132,53
16310920133,68
16310920134,47
16310920135,71
16310920136,93
16310920137,78
16310920138,95
16310920139,90
16310920140,96
16310920141,76
16310920142,70
16310920143,72
16310920144,74
16310920202,76
16310920203,69
16310920204,71
16310920205,
16310920206,60
16310920207,75
16310920208,68
16310920209,90
16310920210,88
16310920211,68
16310920212,82
16310920213,92
16310920214,86
16310920215,82
16310920216,75
16310920217,62
16310920218,68
16310920219,82
16310920220,67
16310920221,75
16310920222,68
16310920223,61
16310920224,73
16310920225,84
16310920226,70
16310920227,68
16310920228,68
16310920229,
16310920230,55
16310920231,71
16310920232,84
16310920233,76
16310920235,70
16310920236,62
16310920237,77
16310920238,75
16310920239,
16310920240,
16310920241,67
16310920242,74
16310920243,76
16310920244,90
16310920231,71
16310920235,70
16310920208,68
